Ano;Compra;Gerenciadora;Participante;Cadastro;Início Adesão;Fim Adesão;Início RP;Fim RP;Tipo;Situação;Bem;Grupo;Classe;Item;Marca;Modelo;Total;Restante;Percentual;Preço Referencial;Preço Final;Qtd.CompraAta
2026;39234;PUSP-B ;FOB    ;24/03/2026 08:57;31/03/2026 08:02;10/04/2026 23:59;15/06/2026 00:00;14/06/2027 00:00;Setorizada;Vigente;10017763;SERVICOS DE INSTALACOES/MONTAGENS;SERVICOS DE INSTALACOES/MONTAGENS DE ES.;SERVICO DE INSTALACAO/MONTAGEM DE ESTRUTURAS - INFRAESTRUTURA DE REDE FRIGORIGENA; ; ;200,00;200,00;75,47;265,850;150,000;0;
2026;39234;PUSP-B ;FOB    ;24/03/2026 08:57;31/03/2026 08:02;10/04/2026 23:59;15/06/2026 00:00;14/06/2027 00:00;Setorizada;Vigente;10211870;SERVICOS DE INSTALACOES/MONTAGENS;SERVICOS DE DESINSTALACOES DE EQUIPAMEN.;APARELHO DE AR CONDICIONADO; ; ;80,00;80,00;51,61;397,440;200,000;0;
2026;32027;FOB    ;FOB    ;11/03/2026 17:29; ; ;16/06/2026 00:00;15/06/2027 00:00;Individual;Vigente;6850316;INSTRUMENTOS E EQUIPAMENTOS DE CONTROLE.;GASES COMPRIMIDOS E LIQUEFEITOS INDUSTR.;NITROGENIO LIQUIDO 99.995%;Nitrovalle; ;8.400,00;6.642,00;100,00;14,420;13,900;2;
2025;2070;RUSP-AC;FOB    ;15/01/2025 11:13;06/02/2025 12:30;06/02/2025 12:35;15/09/2025 00:00;14/09/2026 00:00;Setorizada;Vigente;8366632;ARTIGOS DE HIGIENE;ARTIGOS DE PAPEL PARA HIGIENE PESSOAL;PAPEL HIGIÊNICO-FOLHA DUPLA; Dama Profissional; ;1.500,00;750,00;1,18;8,030;3,790;1;
2025;2070;RUSP-AC;FOB    ;15/01/2025 11:13;06/02/2025 12:30;06/02/2025 12:35;15/09/2025 00:00;14/09/2026 00:00;Setorizada;Vigente;9639594;ARTIGOS DE HIGIENE;ARTIGOS DE PAPEL PARA HIGIENE PESSOAL;papel higienico p/dispenser de 1ªqualidade,folha dupla , 10 cm x 250m; Licita Paper; ;500,00;500,00;1,99;153,620;100,700;1;
2025;41210;IF     ;FOB    ;28/04/2025 16:05;06/05/2025 13:17;14/05/2025 23:59;14/10/2025 00:00;13/10/2026 00:00;Setorizada;Vigente;9333835;EQUIPAMENTOS E COMPONENTES PARA EMISSOR.;EQUIPAMENTOS DE CAPTACAO E GRAVACAO DE.;MICROFONE DE LAPELA,DUPLO DIAFRAGMA;Shure;CVL-B/C-TQG + Acessórios;3,00;3,00;8,57;693,613;419,000;0;
2025;41210;IF     ;FOB    ;28/04/2025 16:05;06/05/2025 13:17;14/05/2025 23:59;14/10/2025 00:00;13/10/2026 00:00;Setorizada;Vigente;9333894;EQUIPAMENTOS E COMPONENTES PARA EMISSOR.;EQUIPAMENTOS DE CAPTACAO E GRAVACAO DE.;sistema de microfone sem fio;Shure;ULXD2/SM58-J50 +  SB900B + ArteCubo  / C;10,00;10,00;12,66;14004,473;8359,000;0;
2025;41210;IF     ;FOB    ;28/04/2025 16:05;06/05/2025 13:17;14/05/2025 23:59;14/10/2025 00:00;13/10/2026 00:00;Setorizada;Vigente;9648364;EQUIPAMENTOS E COMPONENTES PARA EMISSOR.;EQUIPAMENTOS DE CAPTACAO E GRAVACAO DE.;TRANSMISSOR SEM FIO SISTEMA MICROFONE SEM FIO;Shure;ULXD1-J50  + SB900B +  Acessórios;10,00;10,00;14,71;9191,080;5802,000;0;
2025;41210;IF     ;FOB    ;28/04/2025 16:05;06/05/2025 13:17;14/05/2025 23:59;14/10/2025 00:00;13/10/2026 00:00;Setorizada;Vigente;9836535;EQUIPAMENTOS E COMPONENTES PARA EMISSOR.;EQUIPAMENTOS DE CAPTACAO E GRAVACAO DE.;MICROFONE HEADSET SEM FIO;Shure;PGA31- TQG + Acessórios;1,00;1,00;2,22;741,977;410,000;0;
2025;130850;FOB    ;FOB    ;15/10/2025 14:16; ; ;31/10/2025 00:00;31/10/2026 00:00;Individual;Vigente;8598967;EQUIPAMENTOS E ARTIGOS DE USO MEDICO, O.;ORTESES, PROTESES E MATERIAIS AUXILIARE.;protese auditiva; OTICON; XCEED PLAY 2, BTE SP;20,00;0,00;100,00;1100,000;1100,000;3;
2025;130850;FOB    ;FOB    ;15/10/2025 14:16; ; ;31/10/2025 00:00;31/10/2026 00:00;Individual;Vigente;8600139;EQUIPAMENTOS E ARTIGOS DE USO MEDICO, O.;ORTESES, PROTESES E MATERIAIS AUXILIARE.;protese auditiva; OTICON;OTICON XCEED PLAY 2 BTE UP;6,00;0,00;100,00;1100,000;1100,000;3;
2025;130850;FOB    ;FOB    ;15/10/2025 14:16; ; ;31/10/2025 00:00;31/10/2026 00:00;Individual;Vigente;8643105;EQUIPAMENTOS E ARTIGOS DE USO MEDICO, O.;ORTESES, PROTESES E MATERIAIS AUXILIARE.;PROTESE AUDITIVA; OTICON; OTICON OPN PLAY 2 BTE PP;34,00;0,00;100,00;1100,000;1100,000;3;
2025;130850;FOB    ;FOB    ;15/10/2025 14:16; ; ;31/10/2025 00:00;31/10/2026 00:00;Individual;Vigente;9888152;EQUIPAMENTOS E ARTIGOS DE USO MEDICO, O.;ORTESES, PROTESES E MATERIAIS AUXILIARE.;SISTEMA DE FM PARA DEFICIENCIA AUDITIVA PORTATIL; OTICON; EDUMIC;30,00;0,00;100,00;4500,000;4500,000;3;
2025;101388;FOB    ;FOB    ;28/08/2025 08:05; ; ;17/10/2025 00:00;16/10/2026 00:00;Individual;Vigente;8115397;SERVICOS ESPECIALIZADOS;SERVICOS ESPECIALIZADOS EM PRODUCAO GRA.;PASTA PARA PRONTUARIO MEDICO, PERSONALIZADA;Celco; ;1.500,00;0,00;100,00;22,350;21,000;2;
2025;110557;FOB    ;FOB    ;11/09/2025 15:35; ; ;20/10/2025 00:00;19/10/2026 00:00;Individual;Vigente;8359024;EQUIPAMENTOS E ARTIGOS DE USO MEDICO, O.;INSUMOS DE USO ODONTOLOGICO COM NOTIFIC.;ANESTESICO LOCAL INJETAVEL,MEPIVACAINA 2% C/EPINEFRINA 1:100000,TUBET; DFL;Mepiadre;280,00;170,00;100,00;230,500;150,500;6;
2025;110557;FOB    ;FOB    ;11/09/2025 15:35; ; ;20/10/2025 00:00;19/10/2026 00:00;Individual;Vigente;8721971;EQUIPAMENTOS E ARTIGOS DE USO MEDICO, O.;INSUMOS DE USO ODONTOLOGICO COM NOTIFIC.;ANESTESICO LOCAL INJETAVEL,MEPIVACAINA 3% S/VASOCONSTR.,TUBETE 1,8ML; DFL;Mepisv;50,00;22,00;100,00;217,000;149,000;6;
2025;110557;FOB    ;FOB    ;11/09/2025 15:35; ; ;20/10/2025 00:00;19/10/2026 00:00;Individual;Vigente;8776652;EQUIPAMENTOS E ARTIGOS DE USO MEDICO, O.;INSUMOS DE USO ODONTOLOGICO COM NOTIFIC.;anest.local injet.,articaina c/epinefrina 1:100.000,tub.cristal 1,8ml; DFL;Articaine 100;330,00;53,00;100,00;225,000;167,000;6;
2025;110557;FOB    ;FOB    ;11/09/2025 15:35; ; ;20/10/2025 00:00;19/10/2026 00:00;Individual;Vigente;8829004;EQUIPAMENTOS E ARTIGOS DE USO MEDICO, O.;INSUMOS DE USO ODONTOLOGICO COM NOTIFIC.;ANESTESICO TOPICO GEL,BENZOCAINA A 20%;DFL;Benzotop;130,00;15,00;100,00;19,980;7,450;6;
